"Race","Year","Happy_level","Degree","Employee_type","Marital_status","Sex"
1,1972,2,1,2,3,2
1,1972,1,2,2,1,2
1,1972,2,1,2,1,1
1,1972,1,0,2,1,2
1,1972,2,0,2,1,1
1,1972,1,0,2,1,2
1,1972,2,0,2,1,1
1,1972,1,1,2,1,2
1,1972,1,0,2,1,1
1,1972,2,1,2,1,1
1,1972,3,0,2,2,2
1,1972,1,0,2,1,1
2,1972,2,0,2,4,2
2,1972,3,0,2,4,2
2,1972,2,1,2,1,2
2,1972,2,0,2,4,2
2,1972,2,0,2,1,1
2,1972,2,0,2,1,1
1,1972,1,0,1,1,1
1,1972,1,1,2,1,2
1,1972,2,4,2,1,2
1,1972,2,1,2,1,2
1,1972,2,1,2,1,2
1,1972,2,1,2,1,1
1,1972,1,1,1,1,1
1,1972,2,0,2,1,1
1,1972,2,1,2,1,1
1,1972,2,0,2,5,1
1,1972,2,3,2,5,2
1,1972,1,1,2,1,1
1,1972,2,1,2,5,1
1,1972,1,1,2,1,2
1,1972,3,1,2,2,2
1,1972,1,1,2,5,1
1,1972,1,0,2,1,2
1,1972,1,1,2,1,2
1,1972,1,0,2,1,1
1,1972,2,0,2,1,2
1,1972,2,0,1,1,1
1,1972,2,0,2,1,1
1,1972,2,0,1,1,1
1,1972,2,4,1,3,1
1,1972,3,0,2,1,2
1,1972,1,0,2,1,2
1,1972,1,1,1,1,1
1,1972,1,1,2,1,2
1,1972,1,1,2,5,2
1,1972,2,1,2,1,1
1,1972,1,0,2,4,2
1,1972,1,1,2,1,2
1,1972,3,1,2,5,1
1,1972,1,0,2,1,2
1,1972,3,1,2,1,1
1,1972,2,1,2,1,1
1,1972,2,3,2,1,1
1,1972,2,1,2,2,2
1,1972,1,1,2,3,1
1,1972,3,0,2,4,1
1,1972,3,1,2,1,1
1,1972,1,1,2,1,2
1,1972,1,1,2,1,1
1,1972,1,1,2,5,2
2,1972,2,0,2,1,1
1,1972,2,0,2,2,2
2,1972,2,0,2,1,1
2,1972,2,1,2,1,2
2,1972,2,1,2,1,2
2,1972,1,3,2,1,1
1,1972,1,1,2,1,1
2,1972,2,1,2,1,1
1,1972,2,1,2,1,2
1,1972,3,0,2,1,2
1,1972,3,0,1,1,1
1,1972,3,0,1,1,1
1,1972,2,1,1,1,1
1,1972,2,1,1,1,1
1,1972,1,1,2,1,2
1,1972,2,0,2,1,2
1,1972,3,0,2,1,1
1,1972,2,1,2,1,2
1,1972,2,0,1,2,2
1,1972,1,4,2,1,1
1,1972,2,0,2,1,2
1,1972,1,1,2,1,1
1,1972,1,0,2,1,1
1,1972,1,1,2,1,1
1,1972,1,1,2,1,1
1,1972,1,1,2,1,2
1,1972,1,0,2,2,1
1,1972,2,0,2,4,2
2,1972,1,0,2,1,2
2,1972,2,1,2,1,1
2,1972,2,1,2,1,1
2,1972,1,0,2,1,2
2,1972,1,1,2,1,1
2,1972,2,1,2,1,1
2,1972,2,0,2,1,2
2,1972,1,1,2,4,2
2,1972,1,1,2,4,2
2,1972,3,1,2,1,1
2,1972,3,0,2,4,1
2,1972,1,0,2,5,1
2,1972,2,0,2,2,2
1,1972,3,0,2,1,1
1,1972,2,3,1,1,1
1,1972,3,0,2,3,2
1,1972,2,1,2,5,1
1,1972,3,0,2,5,2
1,1972,2,4,2,5,2
1,1972,1,1,2,3,1
1,1972,2,1,2,1,1
1,1972,2,1,2,1,2
1,1972,1,4,2,1,1
1,1972,2,3,2,5,2
1,1972,1,1,2,1,1
1,1972,2,1,2,1,2
1,1972,2,1,2,1,1
1,1972,1,0,2,1,1
1,1972,2,3,1,1,1
1,1972,2,3,2,5,2
1,1972,1,0,2,1,1
1,1972,3,0,2,2,2
1,1972,1,0,2,1,2
2,1972,2,0,2,1,2
2,1972,2,0,2,5,1
2,1972,3,0,2,1,2
2,1972,2,0,2,1,2
2,1972,2,0,2,1,1
2,1972,1,0,2,2,1
1,1972,1,0,2,1,2
1,1972,2,0,2,1,1
1,1972,2,0,1,1,1
1,1972,2,1,2,2,2
1,1972,2,3,2,5,2
1,1972,3,1,2,1,1
1,1972,2,1,2,1,1
2,1972,2,1,2,1,2
2,1972,2,0,2,1,1
2,1972,2,0,2,1,1
2,1972,2,0,2,1,2
2,1972,2,0,1,3,1
2,1972,1,0,2,2,1
1,1972,2,0,1,1,1
1,1972,2,1,2,1,2
1,1972,2,0,1,1,1
1,1972,2,0,2,1,1
1,1972,2,0,2,1,1
1,1972,2,0,2,1,1
1,1972,2,0,2,2,2
1,1972,2,1,2,1,1
1,1972,2,1,2,1,2
1,1972,3,0,2,2,2
1,1972,1,1,2,1,2
1,1972,2,0,1,5,1
1,1972,3,0,2,1,1
1,1972,2,1,2,1,1
1,1972,1,0,2,1,1
1,1972,3,1,2,1,2
1,1972,3,0,2,1,2
1,1972,1,0,1,1,1
1,1972,2,0,2,2,1
1,1972,1,4,2,1,2
1,1972,2,1,2,2,2
1,1972,2,1,2,1,2
1,1972,2,0,2,1,2
1,1972,2,0,2,1,1
1,1972,2,1,2,1,1
1,1972,2,0,2,1,2
1,1972,1,1,2,1,1
2,1972,3,0,2,2,2
2,1972,2,0,2,2,2
2,1972,2,1,2,4,2
2,1972,3,3,2,4,2
2,1972,2,0,2,3,2
2,1972,2,0,1,1,1
2,1972,2,1,2,5,1
2,1972,2,0,2,4,1
2,1972,2,0,2,1,1
1,1972,2,0,1,5,1
1,1972,1,0,2,1,1
1,1972,1,0,2,1,1
1,1972,2,1,2,1,2
1,1972,1,0,2,1,2
1,1972,2,4,2,1,1
1,1972,2,0,1,1,1
1,1972,3,0,2,1,1
1,1972,1,0,2,1,1
1,1972,2,1,2,5,1
1,1972,1,1,2,1,2
1,1972,2,0,2,1,1
1,1972,1,3,2,5,2
1,1972,1,0,2,1,2
1,1972,2,0,2,1,1
1,1972,1,1,2,1,1
1,1972,2,1,2,1,1
1,1972,2,0,2,1,1
1,1972,2,0,2,2,2
1,1972,2,1,2,1,2
1,1972,2,1,2,5,1
1,1972,1,0,2,1,2
1,1972,1,1,2,1,1
1,1972,2,1,2,1,2
1,1972,3,0,2,1,2
1,1972,2,1,1,2,2
1,1972,3,1,2,5,1
1,1972,2,3,2,5,2
1,1972,2,1,1,2,2
1,1972,2,0,2,1,1
1,1972,2,1,2,1,1
1,1972,1,1,2,1,1
1,1972,2,0,2,1,2
1,1972,1,1,2,1,2
1,1972,1,0,1,1,1
1,1972,2,1,2,1,1
1,1972,1,1,1,1,1
1,1972,2,0,2,5,1
2,1972,2,1,2,5,1
2,1972,2,1,2,1,2
2,1972,2,1,2,1,2
2,1972,2,1,2,5,2
2,1972,2,1,2,1,1
2,1972,2,1,2,1,1
2,1972,1,1,2,1,1
2,1972,2,1,2,1,1
1,1972,2,0,2,2,2
1,1972,2,1,2,1,2
1,1972,3,0,2,1,2
1,1972,2,1,2,5,1
1,1972,2,1,2,1,2
1,1972,3,0,2,2,1
1,1972,2,1,2,3,2
1,1972,2,0,2,5,1
1,1972,1,0,2,1,1
1,1972,3,0,2,1,2
1,1972,1,1,2,1,1
1,1972,1,1,2,1,1
1,1972,1,0,1,1,1
1,1972,2,0,1,1,1
1,1972,1,1,2,5,2
1,1972,2,1,2,1,1
1,1972,2,1,1,2,2
1,1972,1,0,1,2,2
1,1972,1,4,2,1,1
1,1972,2,3,2,1,1
1,1972,2,1,2,1,2
1,1972,1,1,2,1,1
1,1972,3,1,2,1,2
1,1972,1,0,2,1,1
1,1972,2,1,2,2,2
1,1972,1,3,2,5,1
1,1972,1,0,2,1,2
1,1972,1,1,2,1,2
1,1972,2,0,2,1,1
1,1972,2,1,2,5,2
1,1972,3,0,2,1,2
1,1972,3,1,2,1,1
1,1972,1,0,2,1,2
1,1972,1,0,2,1,2
1,1972,1,0,2,1,1
1,1972,1,0,2,1,1
1,1972,2,3,2,4,1
1,1972,1,3,2,1,2
1,1972,3,1,2,1,2
1,1972,1,1,1,1,1
1,1972,2,1,2,1,1
1,1972,1,1,2,1,1
1,1972,2,1,2,5,1
1,1972,2,1,2,1,1
1,1972,3,1,2,1,2
1,1972,1,1,2,5,2
1,1972,1,1,2,1,1
1,1972,2,1,2,1,2
1,1972,2,1,2,1,2
1,1972,2,3,2,1,1
1,1972,1,1,2,1,1
1,1972,1,1,2,1,1
1,1972,1,1,2,1,2
1,1972,1,3,2,1,2
1,1972,1,1,2,1,1
1,1972,3,0,2,2,1
1,1972,3,0,2,1,1
1,1972,2,1,1,2,2
1,1972,1,0,2,2,1
1,1972,2,0,2,1,2
1,1972,2,0,2,1,2
1,1972,1,0,2,1,2
1,1972,2,1,2,1,1
1,1972,3,1,2,1,2
1,1972,2,1,2,5,1
1,1972,1,1,2,5,2
1,1972,3,1,2,1,2
1,1972,2,1,2,1,1
1,1972,3,3,2,1,1
1,1972,2,1,2,1,1
1,1972,2,1,2,1,2
1,1972,1,1,2,1,1
1,1972,3,1,2,1,2
1,1972,2,1,2,4,2
1,1972,1,0,2,1,1
1,1972,2,1,2,1,2
1,1972,2,1,2,1,2
1,1972,2,1,2,1,1
1,1972,1,1,1,1,1
1,1972,1,0,2,1,2
1,1972,2,1,2,1,2
1,1972,2,0,1,1,1
1,1972,1,1,2,1,2
1,1972,3,0,1,1,1
1,1972,2,1,2,1,1
1,1972,2,1,2,1,1
1,1972,3,1,1,2,2
1,1972,2,0,2,2,2
1,1972,3,1,2,2,2
1,1972,2,0,2,3,2
1,1972,2,1,2,5,1
1,1972,1,0,2,1,2
1,1972,2,1,2,1,1
1,1972,2,1,2,1,1
1,1972,3,0,2,1,1
1,1972,2,1,2,1,1
1,1972,3,0,2,5,1
1,1972,2,0,2,1,2
1,1972,2,0,1,1,2
1,1972,2,0,2,2,2
1,1972,3,1,2,1,2
1,1972,2,1,2,5,2
1,1972,2,0,2,1,1
1,1972,2,0,2,2,1
1,1972,3,3,2,1,1
1,1972,1,0,2,5,2
1,1972,1,0,2,1,1
1,1972,1,1,2,1,2
1,1972,1,0,1,1,1
1,1972,2,1,2,1,2
1,1972,2,0,1,1,1
1,1972,1,0,1,1,1
1,1972,1,1,1,1,1
1,1972,2,1,2,1,1
1,1972,2,3,2,1,1
1,1972,1,1,2,1,2
1,1972,3,1,2,1,1
1,1972,1,0,2,1,2
1,1972,2,1,2,1,2
1,1972,1,1,2,1,2
1,1972,2,1,2,5,1
1,1972,2,1,2,1,1
1,1972,2,3,2,1,1
1,1972,1,1,2,1,1
1,1972,2,1,2,3,2
1,1972,2,0,2,1,2
1,1972,2,1,2,5,1
1,1972,3,1,2,3,2
1,1972,1,1,2,1,1
1,1972,1,1,1,1,1
1,1972,3,0,2,2,1
1,1972,2,0,2,4,2
1,1972,2,0,2,1,2
1,1972,1,1,2,1,2
1,1972,1,0,2,1,1
1,1972,2,0,2,1,1
1,1972,1,0,1,1,1
1,1972,2,1,2,1,1
1,1972,1,0,2,1,2
1,1972,2,0,2,1,2
1,1972,2,1,2,1,2
1,1972,2,0,2,1,2
1,1972,3,0,2,1,1
1,1972,2,3,2,1,1
1,1972,1,1,2,1,1
1,1972,3,3,2,5,2
1,1972,1,2,2,1,2
1,1972,2,1,2,5,2
1,1972,2,0,2,1,1
1,1972,3,1,2,1,1
1,1972,2,3,1,1,1
1,1972,3,0,2,1,1
1,1972,2,0,1,1,2
1,1972,3,1,2,1,1
1,1972,2,1,2,1,2
1,1972,2,2,2,1,2
3,1972,2,1,2,1,1
1,1972,2,3,2,1,1
1,1972,2,1,1,1,2
3,1972,2,1,2,5,1
1,1972,1,0,2,1,2
1,1972,2,1,2,1,1
1,1972,2,0,2,1,1
1,1972,2,1,1,1,1
1,1972,2,0,2,1,1
1,1972,1,1,2,1,2
1,1972,2,0,2,1,1
1,1972,3,0,2,3,1
1,1972,2,0,2,1,2
1,1972,1,1,2,3,1
1,1972,2,0,1,2,2
1,1972,2,0,2,1,2
1,1972,2,4,2,3,1
1,1972,2,1,2,1,2
1,1972,2,1,2,2,2
1,1972,3,0,2,1,1
1,1972,1,0,2,1,1
1,1972,1,0,1,1,1
1,1972,3,0,2,4,1
2,1972,3,1,1,1,2
2,1972,3,3,1,1,2
2,1972,2,1,2,1,2
2,1972,2,1,2,5,1
2,1972,2,1,2,1,2
2,1972,2,1,2,1,1
2,1972,1,0,2,1,1
3,1972,3,1,2,1,2
2,1972,2,1,2,1,1
2,1972,3,0,2,1,1
1,1972,1,3,2,1,2
1,1972,1,4,1,1,1
1,1972,3,1,2,2,2
1,1972,1,3,1,1,1
1,1972,3,4,2,1,1
1,1972,2,3,2,1,1
1,1972,1,3,2,1,2
1,1972,1,1,2,5,2
2,1972,2,1,2,1,1
2,1972,2,0,2,1,2
2,1972,3,0,2,5,1
2,1972,2,1,2,3,2
2,1972,3,0,1,3,2
2,1972,3,0,2,1,1
2,1972,2,0,2,2,1
1,1972,2,1,2,1,2
1,1972,2,0,2,1,2
1,1972,3,1,2,1,2
1,1972,1,0,1,1,1
2,1972,2,1,2,5,1
2,1972,2,4,2,1,1
2,1972,2,0,1,1,1
1,1972,2,1,2,1,2
1,1972,2,1,2,1,2
1,1972,1,1,2,1,1
1,1972,2,1,2,1,2
1,1972,2,3,2,1,1
1,1972,2,1,2,5,2
1,1972,1,0,2,2,2
1,1972,1,1,2,1,1
1,1972,2,1,2,1,2
1,1972,1,3,2,1,2
1,1972,1,1,2,1,2
1,1972,1,0,2,5,1
1,1972,2,3,2,1,1
1,1972,1,3,1,1,1
1,1972,2,0,2,1,1
1,1972,1,1,2,1,1
1,1972,2,0,2,1,2
1,1972,2,1,2,1,1
1,1972,2,0,2,2,2
1,1972,2,0,2,5,1
1,1972,2,0,2,1,1
1,1972,2,0,2,1,1
2,1972,2,1,2,1,1
1,1972,2,1,2,1,1
1,1972,1,3,2,1,2
1,1972,1,1,2,1,2
1,1972,3,1,2,3,2
1,1972,1,3,2,1,2
1,1972,1,3,2,1,1
1,1972,1,0,2,1,2
1,1972,1,0,2,1,2
1,1972,2,1,2,1,2
1,1972,3,1,2,1,1
1,1972,2,0,2,1,1
1,1972,2,1,2,1,1
1,1972,2,1,2,1,1
1,1972,1,1,2,1,2
1,1972,2,1,2,1,1
1,1972,2,1,2,5,1
1,1972,2,1,2,1,1
1,1972,3,0,2,1,1
1,1972,3,0,2,2,2
1,1972,2,0,2,1,1
1,1972,2,0,2,1,2
1,1972,2,0,2,1,1
1,1972,2,1,2,5,1
1,1972,3,0,2,1,1
1,1972,2,1,2,1,1
1,1972,2,0,2,1,2
1,1972,2,1,2,1,2
1,1972,2,1,2,5,2
1,1972,2,1,1,2,2
1,1972,1,1,2,1,1
1,1972,2,1,2,1,1
1,1972,2,0,1,1,1
1,1972,3,1,2,1,2
1,1972,1,0,2,1,1
1,1972,1,0,2,3,2
1,1972,2,1,2,1,1
1,1972,2,1,1,1,1
1,1972,2,0,2,1,2
1,1972,3,3,2,5,2
1,1972,1,1,2,1,2
1,1972,2,1,2,1,1
1,1972,3,0,1,2,2
1,1972,2,3,1,1,1
1,1972,1,1,1,1,1
1,1972,2,1,2,3,2
1,1972,2,1,2,1,1
1,1972,1,0,1,1,2
2,1972,2,1,1,3,2
2,1972,2,1,2,1,2
2,1972,2,1,1,3,2
1,1972,2,0,2,2,2
2,1972,1,1,2,5,1
2,1972,3,0,2,5,1
2,1972,2,1,2,1,1
2,1972,2,1,2,1,1
2,1972,2,1,2,1,1
1,1972,2,1,2,5,1
1,1972,1,4,2,1,1
1,1972,1,3,2,1,1
1,1972,1,4,2,1,1
1,1972,1,1,2,1,2
1,1972,1,1,2,1,2
1,1972,1,1,1,1,2
1,1972,3,1,2,2,2
1,1972,1,0,2,1,1
1,1972,3,1,2,1,2
1,1972,1,1,2,2,2
1,1972,1,1,2,1,1
1,1972,1,0,2,2,2
1,1972,2,1,2,5,1
1,1972,1,0,2,1,1
1,1972,1,2,2,1,1
1,1972,2,1,2,1,1
1,1972,1,0,2,1,1
1,1972,3,1,2,1,2
1,1972,2,1,2,1,2
1,1972,1,1,2,4,2
1,1972,3,1,2,1,1
1,1972,2,0,2,1,2
1,1972,2,0,2,1,2
1,1972,2,0,2,1,2
1,1972,2,1,2,1,1
2,1972,1,0,1,5,1
1,1972,2,0,2,1,1
1,1972,2,1,2,1,2
1,1972,2,0,2,1,1
1,1972,2,0,2,1,1
1,1972,2,1,2,1,1
1,1972,1,1,1,1,2
1,1972,2,2,2,1,1
1,1972,1,2,2,1,2
1,1972,2,1,2,1,2
1,1972,2,3,2,1,1
1,1972,1,3,2,1,1
1,1972,3,1,2,1,2
1,1972,2,0,2,5,1
1,1972,3,0,2,5,2
1,1972,3,0,2,2,2
1,1972,2,1,2,1,1
1,1972,3,0,2,2,2
1,1972,3,4,2,1,1
1,1972,2,1,2,5,1
1,1972,2,1,2,2,2
1,1972,2,3,2,1,1
1,1972,1,4,2,1,1
1,1972,1,3,2,1,1
1,1972,2,1,2,1,2
2,1972,3,0,1,2,2
2,1972,3,1,2,3,2
2,1972,2,0,1,1,2
2,1972,1,0,2,1,2
2,1972,2,1,2,1,1
2,1972,2,3,2,5,1
2,1972,2,1,2,5,1
2,1972,2,1,2,1,1
1,1972,2,1,2,3,2
1,1972,2,1,2,1,1
1,1972,3,0,2,1,1
1,1972,2,0,2,1,2
1,1972,2,0,2,5,1
1,1972,1,0,2,2,2
1,1972,1,1,2,1,2
1,1972,1,3,2,1,1
1,1972,2,1,2,1,2
1,1972,2,1,2,1,2
1,1972,1,1,2,1,2
1,1972,2,0,2,1,1
1,1972,2,3,2,1,1
1,1972,2,0,2,1,1
1,1972,2,1,2,1,2
1,1972,2,1,2,1,2
1,1972,2,1,2,1,1
1,1972,3,0,2,1,2
1,1972,2,0,2,1,2
1,1972,1,0,2,1,1
1,1972,2,0,2,1,1
2,1972,3,0,2,2,2
2,1972,3,1,2,5,2
2,1972,2,1,1,1,2
2,1972,2,0,2,4,1
2,1972,1,1,2,1,1
2,1972,3,1,2,1,1
2,1972,3,1,2,5,2
2,1972,3,1,2,1,2
1,1972,2,0,2,1,2
1,1972,2,0,2,5,2
1,1972,2,4,2,1,2
1,1972,2,1,2,3,1
1,1972,2,4,2,1,1
1,1972,3,1,2,1,2
1,1972,2,1,2,1,2
1,1972,3,1,2,1,1
1,1972,2,1,2,1,2
1,1972,2,0,2,1,2
1,1972,2,0,2,1,1
1,1972,2,0,2,1,1
1,1972,2,1,2,1,1
2,1972,3,1,2,2,2
2,1972,2,3,2,3,2
2,1972,2,1,1,1,1
2,1972,2,0,2,2,2
2,1972,2,0,2,4,1
2,1972,1,0,2,3,2
2,1972,2,1,2,5,1
1,1972,1,1,2,1,2
1,1972,1,1,2,1,2
1,1972,1,1,2,1,1
1,1972,2,1,2,1,2
1,1972,2,0,1,1,1
1,1972,2,1,1,1,2
1,1972,3,0,2,1,1
1,1972,2,4,2,5,1
1,1972,2,2,2,1,1
1,1972,2,0,1,2,2
2,1972,3,0,1,2,2
1,1972,2,1,2,1,1
1,1972,2,1,2,1,2
1,1972,3,0,2,1,1
1,1972,2,0,2,3,1
1,1972,1,0,2,1,1
1,1972,2,1,2,1,1
1,1972,1,0,2,1,2
1,1972,2,1,2,1,1
1,1972,1,1,1,1,1
1,1972,1,0,2,1,2
1,1972,1,0,2,1,2
2,1972,1,0,2,1,2
2,1972,1,0,1,1,1
2,1972,2,0,2,1,2
2,1972,1,1,2,1,2
2,1972,1,0,2,1,1
2,1972,1,0,2,1,2
1,1972,2,1,2,3,2
1,1972,2,1,2,1,1
1,1972,2,3,2,5,1
1,1972,1,4,2,1,1
1,1972,3,1,2,2,2
1,1972,2,1,2,5,2
1,1972,2,1,2,5,2
1,1972,2,1,2,5,1
1,1972,2,1,2,1,2
1,1972,2,0,2,5,1
1,1972,2,0,1,1,2
1,1972,3,0,2,3,1
1,1972,1,0,2,1,1
1,1972,2,0,2,2,2
1,1972,1,1,2,2,2
1,1972,2,1,2,3,2
1,1972,2,1,2,1,1
1,1972,1,3,2,5,2
1,1972,2,3,2,5,2
1,1972,3,4,2,1,1
1,1972,2,1,2,2,2
1,1972,1,1,2,1,2
1,1972,1,4,1,1,1
1,1972,1,4,2,1,1
1,1972,2,1,2,1,1
1,1972,2,0,2,1,1
1,1972,2,3,2,5,1
1,1972,2,1,2,5,2
1,1972,2,1,2,1,2
1,1972,2,2,2,5,1
1,1972,3,1,2,1,1
1,1972,1,0,2,1,2
1,1972,1,1,2,1,1
1,1972,2,0,1,1,1
1,1972,1,1,2,2,2
1,1972,2,1,1,1,2
1,1972,1,1,2,1,1
1,1972,2,1,2,1,2
1,1972,1,0,1,1,1
1,1972,2,3,1,1,1
1,1972,2,0,2,1,1
1,1972,1,1,2,2,2
1,1972,2,1,1,1,2
1,1972,2,1,2,1,1
1,1972,1,0,2,5,1
1,1972,2,0,1,1,2
1,1972,3,0,2,3,1
1,1972,2,1,1,1,1
2,1972,2,1,2,1,1
2,1972,2,0,2,1,2
2,1972,2,1,2,1,2
2,1972,1,0,2,1,2
2,1972,2,1,2,1,1
2,1972,3,1,2,5,1
2,1972,3,1,2,1,1
1,1972,2,1,2,1,1
1,1972,2,1,2,1,2
1,1972,1,1,2,1,2
1,1972,2,1,2,1,2
1,1972,3,1,2,4,1
1,1972,1,1,2,1,1
1,1972,1,0,2,1,1
1,1972,1,1,1,1,2
1,1972,2,1,1,1,1
1,1972,2,1,2,5,1
1,1972,2,1,2,5,1
1,1972,2,1,2,1,2
1,1972,2,1,1,1,2
1,1972,2,0,2,1,1
1,1972,2,3,1,1,1
1,1972,1,1,2,1,2
1,1972,2,0,2,1,1
1,1972,3,0,2,1,2
1,1972,3,1,2,1,1
1,1972,2,1,2,1,2
1,1972,2,1,2,1,1
1,1972,1,1,2,1,2
1,1972,2,1,2,5,2
1,1972,2,0,2,2,2
1,1972,1,0,2,1,1
1,1972,2,0,2,1,2
1,1972,2,0,2,1,1
1,1972,2,0,2,1,1
1,1972,2,0,2,1,1
1,1972,2,1,2,1,2
1,1972,1,1,2,1,2
1,1972,1,1,2,1,1
1,1972,3,1,2,1,1
1,1972,3,1,2,1,1
1,1972,1,1,2,2,1
1,1972,2,1,2,5,2
1,1972,2,1,2,1,1
1,1972,3,0,2,1,2
1,1972,2,1,2,4,2
